shot_quadrant,pitch_quadrant,bowler_hand,bowler_type,shot type,runs
1,17,1,1,2,4
1,17,1,1,2,4
1,17,1,1,2,2
1,17,1,1,2,2
1,19,0,1,2,2
1,19,0,1,2,6
1,19,0,1,2,6
1,1,0,1,1,4
1,1,0,1,1,4
1,1,0,1,1,4
1,5,0,1,1,4
1,5,0,1,1,4
1,19,0,1,2,2
1,19,0,1,2,2
1,19,0,1,2,2
1,1,0,1,1,6
1,19,0,1,2,6
1,19,0,1,2,2
1,19,0,1,2,2
1,5,0,1,1,4
1,5,0,1,1,4
1,1,0,1,1,6
1,2,0,1,1,1
1,19,0,1,2,1
1,1,1,2,1,1
1,1,1,2,1,6
1,6,1,2,4,1
1,6,1,2,4,1
1,6,1,2,4,1
1,6,1,2,4,4
1,6,1,2,4,4
1,10,1,3,4,6
1,2,1,3,1,2
1,2,1,3,1,2
1,14,1,3,4,1
1,14,1,3,4,1
1,14,1,3,4,1
1,1,1,3,1,6
1,10,0,2,4,6
1,10,0,2,4,4
1,1,0,2,1,4
1,14,0,2,4,4
1,6,0,2,4,2
1,10,0,3,3,2
1,10,0,3,3,2
1,5,0,3,1,4
1,5,0,3,1,4
1,5,0,3,1,6
2,10,1,1,1,1
2,14,1,1,5,1
2,14,1,1,5,1
2,18,1,1,2,4
2,18,1,1,2,4
2,2,1,1,4,1
2,2,1,1,4,2
2,6,1,1,1,2
2,10,1,1,1,2
2,14,1,1,5,2
2,11,1,1,1,2
2,7,0,1,1,2
2,7,0,1,1,2
2,7,0,1,1,2
2,11,0,1,1,6
2,11,0,1,1,2
2,11,0,1,1,4
2,10,0,1,1,4
2,15,0,1,5,1
2,15,0,1,5,1
2,15,0,1,5,1
2,15,0,1,5,1
2,10,1,2,1,4
2,10,1,2,1,4
2,10,1,2,1,4
2,10,1,2,1,2
2,10,1,2,1,2
2,14,1,2,3,2
2,14,1,2,3,2
2,14,1,2,3,2
2,14,1,2,3,1
2,6,1,2,1,3
2,6,1,2,1,3
2,10,0,2,1,3
2,10,0,2,1,3
2,10,0,2,1,4
2,10,0,2,1,4
2,10,0,2,1,2
2,10,0,2,1,2
2,14,0,2,3,2
2,14,0,2,3,2
2,14,0,2,3,2
2,14,0,2,3,2
2,6,0,2,1,4
2,6,0,2,1,4
2,6,0,2,1,2
2,6,0,2,1,2
2,6,0,2,1,2
2,6,0,2,1,3
2,6,1,3,1,2
2,6,1,3,1,2
2,6,1,3,1,2
2,6,1,3,1,2
2,6,1,3,1,2
2,10,1,3,1,2
2,10,1,3,1,2
2,10,1,3,1,4
2,10,1,3,1,4
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,6,0,3,1,1
2,6,0,3,1,1
2,6,0,3,1,4
2,6,0,3,1,4
2,6,0,3,1,3
2,10,0,3,1,3
2,10,0,3,1,3
2,14,0,3,5,1
2,14,0,3,5,1
2,14,0,3,5,1
2,14,0,3,5,1
2,14,0,3,5,1
2,14,0,3,5,1
3,14,1,1,5,2
3,14,1,1,5,2
3,14,1,1,5,2
3,14,1,1,5,4
3,14,1,1,5,4
3,14,1,1,5,1
3,14,1,1,5,1
3,14,1,1,5,1
3,14,1,1,5,1
3,18,1,1,5,1
3,14,1,1,5,1
3,14,1,1,5,1
3,14,1,1,5,1
3,18,1,1,5,4
3,10,1,1,6,4
3,10,1,1,6,4
3,6,1,1,6,4
3,6,1,1,6,4
3,2,1,1,6,1
3,2,1,1,6,1
3,2,1,1,6,1
3,2,1,1,6,1
3,2,1,1,6,2
3,2,1,1,6,2
3,14,0,1,5,2
3,14,0,1,5,2
3,14,0,1,5,1
3,14,0,1,5,1
3,15,0,1,5,1
3,15,0,1,5,1
3,11,0,1,6,4
3,11,0,1,6,4
3,11,0,1,6,2
3,11,0,1,6,2
3,7,0,1,6,6
3,7,0,1,6,6
3,7,0,1,6,1
3,15,0,1,5,1
3,15,0,1,5,1
3,11,0,1,6,4
3,3,0,1,6,1
3,3,0,1,6,1
3,10,0,1,6,1
3,14,0,1,5,4
3,14,0,1,5,1
3,15,0,1,5,1
3,15,0,1,5,1
3,15,0,1,5,1
3,14,1,2,5,1
3,10,1,2,6,1
3,10,1,2,6,4
3,10,1,2,6,4
3,6,1,2,6,4
3,6,1,2,6,4
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,10,1,2,6,1
3,10,1,2,6,1
3,18,1,2,5,6
3,18,1,2,5,6
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,1,2,5,1
3,14,0,2,5,1
3,14,0,2,5,1
3,14,0,2,5,1
3,14,0,2,5,1
3,10,0,2,6,2
3,10,0,2,6,2
3,10,0,2,6,2
3,10,0,2,6,2
3,6,0,2,6,2
3,6,0,2,6,2
3,6,0,2,6,2
3,18,0,2,5,4
3,18,0,2,5,4
3,18,0,2,5,6
3,10,0,2,6,4
3,10,0,2,6,4
3,10,0,2,6,4
3,6,0,2,6,1
3,6,0,2,6,1
3,14,0,2,5,1
3,14,0,2,5,1
3,2,0,2,6,1
3,2,0,2,6,1
3,2,0,2,6,1
3,2,0,2,6,1
3,14,0,2,5,1
3,10,1,3,6,1
3,10,1,3,6,1
3,10,1,3,6,2
3,10,1,3,6,2
3,10,1,3,6,4
3,10,1,3,6,4
3,14,1,3,5,1
3,14,1,3,5,1
3,14,1,3,5,1
3,14,1,3,5,1
3,18,1,3,5,4
3,18,1,3,5,4
3,18,1,3,5,4
3,18,1,3,5,1
3,6,1,3,6,1
3,6,1,3,6,1
3,6,1,3,6,1
3,6,1,3,6,1
3,2,1,3,6,1
3,2,1,3,6,1
3,2,1,3,6,4
3,9,0,3,6,4
3,10,0,3,6,2
3,10,0,3,6,1
3,10,0,3,6,1
3,10,0,3,6,1
3,10,0,3,6,1
3,14,0,3,5,1
3,14,0,3,5,1
3,18,0,3,5,4
3,14,0,3,5,1
3,15,0,3,5,1
3,15,0,3,5,1
4,14,1,1,7,1
4,14,1,1,7,1
4,14,1,1,7,1
4,14,1,1,7,1
4,14,1,1,7,1
4,10,1,1,7,2
4,10,1,1,7,2
4,6,1,1,7,4
4,6,1,1,7,4
4,2,1,1,7,1
4,2,1,1,7,1
4,2,1,1,7,2
4,18,1,1,5,1
4,18,1,1,5,1
4,10,1,1,7,2
4,10,1,1,7,2
4,2,1,1,7,1
4,2,1,1,7,1
4,2,1,1,7,1
4,2,0,1,7,1
4,2,0,1,7,1
4,6,0,1,7,2
4,6,0,1,7,2
4,10,0,1,7,4
4,15,0,1,5,1
4,15,0,1,5,1
4,14,0,1,7,1
4,6,0,1,7,2
4,3,0,1,7,2
4,2,0,1,7,1
4,14,0,1,7,1
4,14,0,1,7,1
4,10,0,1,7,2
4,6,0,1,7,2
4,2,0,1,7,1
4,14,0,1,7,1
4,10,1,2,7,1
4,10,1,2,7,1
4,10,1,2,7,2
4,6,1,2,7,2
4,6,1,2,7,2
4,6,1,2,7,2
4,14,1,2,7,1
4,14,1,2,7,1
4,18,1,2,5,4
4,18,1,2,5,4
4,10,1,2,7,1
4,10,1,2,7,1
4,6,1,2,7,1
4,6,1,2,7,1
4,2,1,2,7,2
4,2,1,2,7,2
4,10,1,2,7,1
4,10,1,2,7,1
4,14,1,2,7,1
4,6,1,2,7,1
4,6,1,2,7,1
4,6,1,2,7,2
4,6,1,2,7,1
4,10,1,2,7,1
4,10,1,3,7,1
4,10,1,3,7,1
4,10,1,3,7,1
4,10,1,3,7,1
4,10,1,3,7,2
4,6,1,3,7,2
4,6,1,3,7,2
4,6,1,3,7,2
4,14,1,3,7,1
4,18,1,3,5,1
4,10,0,2,7,1
4,10,0,2,7,1
4,10,0,2,7,1
4,6,0,2,7,4
4,6,0,2,7,4
4,6,0,2,7,2
4,14,0,2,7,1
4,10,0,2,7,1
4,18,0,2,5,1
4,18,0,2,5,1
4,18,0,2,5,1
4,6,0,3,7,2
4,6,0,3,7,2
4,6,0,3,7,2
4,10,0,3,7,1
4,10,0,3,7,1
4,6,0,3,7,4
4,6,0,3,7,4
4,10,0,3,7,1
4,10,0,3,7,1
5,6,1,1,8,2
5,6,1,1,8,2
5,6,1,1,8,4
5,10,1,1,8,4
5,10,1,1,8,2
5,10,1,1,8,1
5,14,1,1,8,1
5,14,1,1,8,1
5,14,1,1,8,1
5,14,1,1,8,1
5,14,1,1,8,1
5,14,1,1,8,1
5,10,1,1,8,3
5,2,1,1,8,1
5,2,1,1,8,1
5,2,1,1,8,1
5,1,1,1,8,1
5,1,1,1,8,1
5,10,1,1,8,6
5,2,1,1,8,1
5,3,0,1,8,1
5,3,0,1,8,1
5,3,0,1,8,1
5,2,0,1,8,1
5,2,0,1,8,1
5,1,0,1,8,1
5,14,0,1,8,1
5,14,0,1,8,1
5,14,0,1,8,1
5,10,0,1,8,4
5,10,0,1,8,4
5,2,0,1,8,2
5,14,0,1,8,2
5,1,0,1,8,2
5,6,0,1,8,2
5,6,0,1,8,4
5,6,0,1,8,2
5,6,0,1,8,2
5,6,0,1,8,2
5,18,0,1,5,1
5,10,1,2,8,1
5,10,1,2,8,1
5,10,1,2,8,2
5,10,1,2,8,2
5,10,1,2,8,4
5,6,1,2,8,4
5,6,1,2,8,4
5,6,1,2,8,1
5,14,1,2,8,4
5,6,1,2,8,2
5,6,1,2,8,2
5,18,1,2,5,4
5,18,1,2,5,1
5,10,1,2,8,1
5,10,1,2,8,1
5,10,1,2,8,1
5,10,1,2,8,1
5,10,1,2,8,1
5,14,1,3,8,3
5,14,1,3,8,2
5,10,1,3,8,2
5,10,1,3,8,2
5,10,1,3,8,1
5,10,1,3,8,1
5,10,1,3,8,1
5,10,1,3,8,1
5,6,1,3,8,2
5,6,1,3,8,4
5,10,1,3,8,1
5,10,1,3,8,1
5,10,1,3,8,1
5,6,1,3,8,2
5,10,0,2,8,2
5,10,0,2,8,1
5,10,0,2,8,1
5,10,0,2,8,1
5,10,0,2,8,1
5,6,0,2,8,2
5,6,0,2,8,2
5,6,0,2,8,1
5,14,0,2,8,1
5,14,0,2,8,1
5,10,0,3,8,1
5,6,0,3,8,6
5,10,0,3,8,1
5,10,0,3,8,1
5,10,0,3,8,1
5,10,0,3,8,1
5,6,0,3,8,4
5,10,0,3,8,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,10,1,1,10,1
6,10,1,1,10,1
6,10,1,1,10,1
6,10,1,1,10,1
6,10,1,1,10,4
6,10,1,1,10,4
6,10,1,1,10,4
6,6,1,1,10,4
6,6,1,1,10,4
6,6,1,1,10,4
6,6,1,1,10,1
6,6,1,1,10,1
6,18,1,1,11,2
6,18,1,1,11,2
6,2,1,1,10,2
6,2,1,1,10,2
6,1,1,1,10,1
6,1,1,1,10,1
6,1,1,1,10,1
6,1,1,1,10,1
6,6,0,1,10,1
6,6,0,1,10,2
6,6,0,1,10,2
6,6,0,1,10,2
6,6,0,1,10,2
6,10,0,1,10,4
6,10,0,1,10,4
6,14,0,1,11,1
6,14,0,1,11,1
6,14,0,1,11,2
6,14,0,1,11,2
6,2,0,1,10,2
6,2,0,1,10,1
6,2,0,1,10,1
6,10,0,1,10,6
6,10,0,1,10,2
6,10,0,1,10,1
6,10,0,1,10,1
6,10,0,1,10,1
6,2,0,1,10,1
6,2,0,1,10,1
6,1,0,1,10,1
6,1,0,1,10,1
6,1,0,1,10,1
6,1,0,1,10,2
6,10,0,1,10,2
6,5,0,1,10,1
6,10,1,2,10,1
6,10,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,4
6,10,1,2,10,1
6,10,1,2,10,1
6,10,1,2,10,1
6,10,1,2,10,1
6,10,1,2,10,1
6,10,1,2,10,1
6,6,1,2,10,4
6,14,1,2,11,4
6,2,1,2,10,2
6,6,1,2,10,2
6,14,1,2,11,2
6,10,1,2,10,2
6,10,1,2,10,2
6,6,1,2,10,1
6,6,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,2
6,6,1,2,10,2
6,10,0,2,10,1
6,10,0,2,10,1
6,10,0,2,10,1
6,10,0,2,10,1
6,14,0,2,11,4
6,14,0,2,11,4
6,14,0,2,11,1
6,10,0,2,10,1
6,10,0,2,10,1
6,10,0,2,10,1
6,6,0,2,10,2
6,6,0,2,10,2
6,6,0,2,10,2
6,18,0,2,11,2
6,18,0,2,11,2
6,18,0,2,11,4
6,10,0,2,10,1
6,6,0,2,10,1
6,6,0,2,10,1
6,6,0,2,10,1
6,6,0,2,10,1
6,6,0,2,10,1
6,6,0,2,10,1
6,6,0,2,10,2
6,6,1,3,10,2
6,6,1,3,10,2
6,6,1,3,10,2
6,6,1,3,10,2
6,6,1,3,10,4
6,6,1,3,10,1
6,6,1,3,10,1
6,6,1,3,10,1
6,6,1,3,10,1
6,10,1,3,10,1
6,10,1,3,10,1
6,10,1,3,10,1
6,10,1,3,10,1
6,10,1,3,10,1
6,10,1,3,10,2
6,10,1,3,10,2
6,10,1,3,10,4
6,14,1,3,11,4
6,6,0,3,10,4
6,6,0,3,10,1
6,6,0,3,10,1
6,6,0,3,10,2
6,6,0,3,10,2
6,10,0,3,10,1
6,10,0,3,10,1
6,10,0,3,10,1
6,10,0,3,10,1
6,14,0,3,11,2
6,10,0,3,10,2
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,1
6,14,1,1,11,2
6,14,1,1,11,2
6,14,1,1,11,1
6,14,1,1,11,1
6,10,1,1,10,2
6,10,1,1,10,2
6,14,0,1,11,1
6,14,0,1,11,1
6,14,0,1,11,1
6,14,0,1,11,1
6,14,0,1,11,1
6,6,0,1,10,4
6,6,0,1,10,2
6,6,0,1,10,1
6,2,0,1,10,1
6,2,0,1,10,1
6,2,0,1,10,1
6,2,0,1,10,2
6,1,0,1,10,1
6,1,0,1,10,1
7,1,1,1,12,1
7,1,1,1,12,1
7,2,1,1,12,1
7,2,1,1,12,1
7,5,1,1,12,1
7,6,1,1,12,1
7,6,1,1,12,1
7,9,1,1,12,1
7,10,1,1,12,2
7,14,1,1,13,2
7,14,1,1,13,2
7,14,1,1,13,4
7,18,1,1,13,4
7,18,1,1,13,4
7,18,1,1,13,4
7,18,1,1,13,4
7,18,1,1,13,2
7,6,1,1,12,1
7,6,1,1,12,1
7,2,1,1,12,1
7,14,1,1,13,1
7,14,1,1,13,1
7,14,1,1,13,1
7,14,1,1,13,1
7,14,0,1,13,1
7,10,0,1,12,1
7,14,0,1,13,2
7,14,0,1,13,2
7,14,0,1,13,1
7,14,0,1,13,1
7,18,0,1,13,4
7,5,0,1,12,4
7,6,0,1,12,1
7,6,0,1,12,1
7,6,0,1,12,1
7,10,0,1,12,1
7,10,0,1,12,2
7,10,0,1,12,2
7,14,0,1,13,2
7,14,0,1,13,2
7,14,0,1,13,2
7,18,0,1,13,2
7,18,0,1,13,2
7,1,0,1,12,2
7,1,0,1,12,2
7,6,1,2,12,2
7,6,1,2,12,1
7,6,1,2,12,1
7,6,1,2,12,1
7,6,1,2,12,1
7,6,1,2,12,1
7,9,1,2,12,4
7,13,1,2,13,4
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,14,0,2,13,1
7,14,0,2,13,1
7,14,0,2,13,4
7,14,0,2,13,4
7,14,0,2,13,1
7,10,0,2,12,1
7,10,0,2,12,1
7,10,0,2,12,1
7,1,0,2,12,1
7,6,0,2,12,1
7,6,0,2,12,1
7,6,0,2,12,1
7,6,0,2,12,1
7,14,0,2,13,6
7,14,0,2,13,6
7,6,1,3,12,2
7,6,1,3,12,2
7,6,1,3,12,1
7,6,1,3,12,1
7,6,1,3,12,1
7,14,0,3,13,1
7,14,0,3,13,1
7,10,0,3,12,1
7,10,0,3,12,1
7,14,0,3,13,4
7,5,1,1,12,6
7,5,1,1,12,6
7,18,0,1,13,6
7,17,1,2,13,6
7,17,1,1,13,4
7,5,1,1,12,4
7,5,1,1,12,4
7,5,0,1,12,4
7,2,0,1,12,1
7,2,0,1,12,1
7,2,0,1,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,10,1,2,12,1
7,2,1,1,12,1
7,2,1,1,12,1
7,2,1,1,12,1
7,2,1,1,12,2
8,18,1,1,15,4
8,10,1,1,14,2
8,10,1,1,14,2
8,14,1,1,14,2
8,1,1,1,14,4
8,2,1,1,14,1
8,2,0,1,14,1
8,1,0,1,14,2
8,18,0,1,15,6
8,18,0,1,15,2
8,14,0,1,14,2
8,14,0,1,14,1
8,1,1,1,14,1
8,5,1,1,14,1
8,10,1,1,14,2
8,18,1,1,15,4
8,10,1,1,14,2
8,10,1,1,14,1
8,10,1,1,14,2
8,10,1,1,14,1
8,18,1,1,15,1
8,1,0,1,14,1
8,18,0,1,15,6
8,1,0,1,14,4
8,1,0,1,14,4
8,18,0,1,15,4
8,2,0,1,14,1
8,1,1,1,14,4
8,1,1,1,14,4
8,18,1,1,15,4
8,10,1,2,14,1
8,10,1,2,14,1
8,10,1,2,14,1
8,10,1,2,14,1
8,5,1,2,14,4
8,9,1,2,14,4
8,14,1,2,14,1
8,14,0,2,14,1
8,14,0,2,14,4
8,14,0,2,14,4
8,14,1,3,14,4
8,14,1,3,14,1
8,14,0,3,14,1
8,14,1,3,14,1
8,5,0,3,14,4
8,5,0,3,14,4
8,1,1,3,14,4
8,2,1,3,14,1
8,2,1,3,14,1
8,2,0,3,14,1
